Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,LiftAndCoast,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,WheelLoadFL,WheelLoadFR,WheelLoadRL,WheelLoadRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,,km/h,,,,,km,G,G,G,,,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,N,N,N,N,%,,,,%,mm,mm
40209.00000,0.43282,10.72261,80.41801,286.54970,1.00000,0.00000,0.00000,0.00000,0.00000,521.72660,139.64720,2350.57000,-1.75256,127.19180,0.07020,0.00000,100.00000,0.00000,1.00000,0.00000,99.03394,0.00000,10000.00000,0.00000,4.00000,0.01023,0.00587,1.40995,0.10384,NaN,NaN,515.10800,441.26480,0.05499,926.96900,763.77800,-202.27110,-32.71533,2444.16600,3041.63800,123.81400,123.86640,101.35010,101.35580,0.14409,56.29671,56.73352,71.89194,72.49087,927.23750,927.37630,764.38950,764.13920,1735.22600,1655.31200,4400.89100,4529.79900,100.00000,1.80001,3.13368,0.95136,36.48412,62.00000,76.00000
40219.00000,0.45282,11.27989,80.43800,287.10700,1.00000,0.00000,0.00000,0.00000,0.00000,522.16740,139.66780,2350.23600,-1.79547,127.19530,0.05900,0.00000,100.00000,0.00000,1.00000,0.00000,100.02330,0.00000,10000.00000,0.00000,4.00000,0.01078,0.00989,1.35631,0.12023,NaN,NaN,513.87500,444.68500,0.05785,942.20500,770.85900,-6.82105,0.95825,2266.65800,3031.14700,126.44260,126.44360,102.27420,102.28710,-0.02545,56.65463,57.01679,71.62300,72.04953,944.06760,943.97240,771.39570,771.49940,1697.05900,1673.98200,4524.93100,4477.02200,100.00000,1.73343,3.14867,0.94869,35.50578,63.00000,76.00000
40229.00000,0.47282,11.84245,80.45800,287.66960,1.00000,0.00000,0.00000,0.00000,0.00000,522.61230,139.68800,2349.89800,-1.81021,127.19490,0.05854,3.60000,100.00000,0.00000,1.00000,0.00000,100.98030,200.00000,10000.00000,0.00000,4.00000,0.01134,0.01849,1.37464,0.08243,NaN,NaN,508.13500,447.53610,0.06068,958.39400,778.35800,68.77930,-3.28430,2214.52800,3028.13100,127.91770,128.00270,103.35930,103.35200,0.15662,56.83154,57.22105,71.60938,71.92841,959.27610,959.14670,778.98160,778.93450,1891.38100,1583.92200,4177.86000,4237.42900,100.00000,1.73180,3.14958,0.94869,35.47766,63.00000,76.00000
40239.00000,0.49282,12.41029,80.47800,288.23740,1.00000,0.00000,0.00000,0.00000,0.00000,523.06120,139.70800,2349.55700,-1.80478,127.19890,0.06287,9.59400,100.00000,0.00000,1.00000,0.00000,101.95590,533.00000,10000.00000,0.00000,4.00000,0.01190,0.05536,1.45923,0.08579,NaN,NaN,509.59500,450.07940,0.06350,965.46900,786.48100,132.35800,-16.41211,2239.93700,3024.58400,127.84740,127.84030,104.37310,104.43270,0.75928,56.72371,57.24385,71.73204,72.10970,965.23340,965.38150,787.15040,787.10610,2128.30200,1955.16100,4484.92700,3962.13000,100.00000,1.73518,3.13227,0.95001,35.64867,63.00000,77.00000
40249.00000,0.51282,12.98423,80.49800,288.81140,1.00000,0.00000,0.00000,0.00000,0.00000,523.51420,139.72830,2349.21300,-1.80148,127.21530,0.06607,15.58800,100.00000,0.00000,1.00000,0.00000,102.97900,866.00000,10000.00000,0.00000,4.00000,0.01247,0.16112,1.42376,-0.03050,NaN,NaN,519.74800,452.70110,0.06636,961.88100,793.96000,173.62560,-25.40576,2362.28500,3034.50400,127.42580,127.43150,105.31960,105.36540,1.47695,56.49707,57.07458,71.57564,72.14135,960.86770,961.15490,794.59120,794.10560,1851.93500,1687.17000,4496.32200,4311.41600,100.00000,1.72370,3.12787,0.95001,35.52880,63.00000,76.00000
40259.00000,0.53282,13.56331,80.51801,289.39040,1.00000,0.00000,0.00000,0.00000,0.00000,523.97130,139.74920,2348.86400,-1.80228,127.24500,0.07382,21.58200,100.00000,0.00000,1.00000,0.00000,103.99200,1199.00000,10000.00000,0.00000,4.00000,0.01304,0.10256,1.34569,0.08873,NaN,NaN,527.61700,455.55330,0.06929,965.15600,801.45500,143.74270,-0.99756,2292.90300,3020.71100,129.39820,129.37970,106.39150,106.43150,2.13371,56.71152,57.22845,71.38914,72.14275,966.32780,966.25360,802.03390,802.12780,1695.03100,1638.62300,4316.25500,4106.22100,100.00000,1.70823,3.14377,0.94869,35.20671,63.00000,76.00000
40269.00000,0.55282,14.14798,80.53800,289.97510,1.00000,0.00000,0.00000,0.00000,0.00000,524.43190,139.77000,2348.51100,-1.78827,127.28970,0.09655,27.59400,100.00000,0.00000,1.00000,0.00000,104.94180,1533.00000,10000.00000,0.00000,4.00000,0.01362,0.14521,1.38651,-0.03000,NaN,NaN,524.56600,458.22660,0.07222,981.70200,809.79400,586.10340,-32.25183,2260.89300,3023.39200,130.61080,130.66540,107.58410,107.63810,3.42984,56.57140,57.48022,71.57001,72.48768,981.16110,981.85490,810.38030,810.46730,1971.36300,1541.80900,4048.07800,3663.59700,100.00000,1.71237,3.12701,0.95001,35.38412,63.00000,77.00000
40279.00000,0.57282,14.73788,80.55801,290.56500,1.00000,0.00000,0.00000,0.00000,0.00000,524.89610,139.79080,2348.15400,-1.77313,127.35930,0.11051,33.58800,100.00000,0.00000,1.00000,0.00000,105.92230,1866.00000,10000.00000,0.00000,4.00000,0.01421,0.23093,1.38826,0.02084,NaN,NaN,528.19500,460.70180,0.07515,987.18600,817.68000,306.62620,-48.52039,2209.92900,3026.68300,131.55310,131.67760,108.55920,108.67460,4.40812,56.48392,57.72305,71.76382,72.92050,988.03990,988.39330,818.29170,818.27220,2248.99200,1339.87700,4351.36700,3626.86400,100.00000,1.71297,3.10783,0.95127,35.53292,64.00000,78.00000
40289.00000,0.59282,15.33343,80.57800,291.16060,1.00000,0.00000,0.00000,0.00000,0.00000,525.36360,139.81170,2347.79300,-1.76593,127.44810,0.12765,39.58200,100.00000,0.00000,1.00000,0.00000,106.90110,2199.00000,10000.00000,0.00000,4.00000,0.01480,0.37186,1.41730,0.02888,NaN,NaN,530.95100,463.11810,0.07808,993.14100,825.09600,315.05660,-54.10449,2246.19000,3037.05100,131.75140,131.76570,109.42700,109.55410,5.49741,56.21520,57.83877,71.58437,73.21087,993.38950,993.23720,825.62800,825.36800,2270.26100,1787.44900,4555.98800,3809.33200,100.00000,1.70145,3.10348,0.95127,35.41047,63.00000,78.00000
40299.00000,0.61282,15.93439,80.59801,291.76150,1.00000,0.00000,0.00000,0.00000,0.00000,525.83450,139.83300,2347.42600,-1.76709,127.56110,0.15876,45.59400,100.00000,0.00000,1.00000,0.00000,107.90440,2533.00000,10000.00000,0.00000,4.00000,0.01539,0.33857,1.35038,0.02498,NaN,NaN,538.46700,465.55300,0.08105,992.12200,831.90000,231.19240,-114.93460,2306.30300,3030.06900,132.30230,132.22180,110.39910,110.58470,6.39276,56.23296,57.61626,70.95518,73.38002,993.12060,992.26950,832.47050,832.48200,2174.50400,1939.01300,4694.83300,3686.65000,100.00000,1.69535,3.10279,0.95127,35.33340,63.00000,77.00000
40309.00000,0.63282,16.54123,80.61800,292.36830,1.00000,0.00000,0.00000,0.00000,0.00000,526.30820,139.85470,2347.05400,-1.76920,127.69360,0.22424,51.58800,100.00000,0.00000,1.00000,0.00000,108.90460,2866.00000,10000.00000,0.00000,4.00000,0.01599,0.44810,1.44881,0.04641,NaN,NaN,545.82700,468.07570,0.08407,991.53800,840.59400,554.87540,-77.14319,2399.94100,3017.77700,130.75050,131.06180,111.62940,111.86170,8.59090,55.36622,57.58545,70.57753,73.77827,990.74330,990.83870,841.29140,841.34350,2999.68300,1264.22200,4726.68600,3382.88000,100.00000,1.67681,3.11661,0.95001,34.98146,63.00000,77.00000
40319.00000,0.65282,17.15402,80.63800,292.98110,1.00000,0.00000,0.00000,0.00000,0.00000,526.78490,139.87730,2346.67700,-1.79276,127.86730,0.28923,57.60000,100.00000,0.00000,1.00000,0.00000,109.92710,3200.00000,10000.00000,0.00000,4.00000,0.01660,0.61074,1.46235,0.12666,NaN,NaN,560.62000,470.92770,0.08715,989.94700,849.60600,681.65170,33.62378,2487.12400,3024.14300,130.82570,131.09490,112.62830,112.89620,10.68562,54.42307,57.91592,69.92558,74.17810,989.42110,988.48960,850.16210,850.29500,3000.12700,1442.71800,5035.12700,3536.17500,100.00000,1.71195,3.10670,0.95136,35.52755,62.00000,77.00000
